iter	Passed	Remaining
0	2	2019
1	3	1791
2	4	1655
3	6	1636
4	8	1630
5	10	1753
6	12	1737
7	13	1717
8	15	1698
9	17	1715
10	18	1690
11	20	1669
12	21	1632
13	22	1601
14	24	1581
15	25	1556
16	27	1568
17	29	1635
18	31	1619
19	32	1606
20	34	1600
21	35	1593
22	37	1583
23	38	1577
24	40	1574
25	42	1610
26	44	1612
27	46	1603
28	47	1592
29	48	1580
30	50	1568
31	51	1559
32	52	1547
33	53	1533
34	55	1521
35	56	1510
36	58	1510
37	59	1501
38	60	1490
39	62	1488
40	63	1486
41	64	1477
42	65	1466
43	67	1456
44	68	1448
45	69	1441
46	71	1457
47	73	1459
48	74	1450
49	75	1443
50	77	1435
51	78	1427
52	79	1419
53	80	1411
54	81	1405
55	83	1400
56	85	1406
57	86	1403
58	87	1403
59	89	1404
60	91	1403
61	92	1400
62	93	1396
63	95	1391
64	96	1384
65	97	1378
66	98	1378
67	100	1381
68	102	1382
69	103	1377
70	104	1370
71	106	1367
72	107	1362
73	108	1358
74	109	1352
75	110	1348
76	112	1344
77	113	1338
78	115	1341
79	116	1340
80	117	1336
81	119	1332
82	119	1322
83	120	1318
84	122	1313
85	123	1308
86	124	1304
87	125	1301
88	126	1297
89	128	1298
90	130	1300
91	131	1296
92	132	1294
93	133	1290
94	135	1288
95	136	1284
96	137	1281
97	139	1282
98	140	1280
99	141	1276
100	143	1274
101	144	1274
102	145	1270
103	147	1266
104	148	1263
105	149	1260
106	150	1256
107	151	1252
108	152	1250
109	154	1246
110	155	1243
111	156	1239
112	158	1241
113	159	1241
114	160	1238
115	162	1234
116	162	1229
117	164	1226
118	165	1223
119	166	1220
120	167	1217
121	168	1213
122	169	1210
123	170	1207
124	181	1273
125	183	1269
126	183	1263
127	184	1259
128	185	1255
129	186	1251
130	188	1250
131	189	1248
132	191	1246
133	192	1242
134	193	1239
135	194	1238
136	196	1237
137	197	1235
138	198	1231
139	199	1227
140	200	1223
141	201	1217
142	203	1217
143	204	1214
144	205	1211
145	206	1207
146	207	1204
147	208	1201
148	209	1197
149	210	1194
150	211	1190
151	212	1187
152	213	1183
153	214	1179
154	215	1176
155	217	1175
156	218	1174
157	219	1171
158	220	1168
159	221	1165
160	222	1161
161	223	1158
162	224	1154
163	225	1151
164	226	1148
165	228	1145
166	229	1142
167	230	1139
168	231	1139
169	233	1138
170	234	1135
171	235	1132
172	236	1130
173	237	1128
174	238	1125
175	239	1122
176	240	1120
177	241	1117
178	243	1114
179	244	1111
180	245	1109
181	246	1108
182	248	1107
183	249	1104
184	250	1103
185	251	1101
186	252	1099
187	253	1096
188	254	1094
189	256	1091
190	257	1088
191	258	1086
192	259	1083
193	260	1081
194	261	1080
195	263	1079
196	264	1077
197	265	1074
198	266	1072
199	267	1069
200	268	1067
201	269	1065
202	270	1063
203	271	1061
204	273	1058
205	274	1056
206	275	1055
207	277	1055
208	278	1054
209	279	1052
210	280	1050
211	282	1048
212	283	1047
213	284	1045
214	285	1043
215	286	1040
216	287	1038
217	288	1036
218	290	1035
219	291	1034
220	292	1032
221	294	1031
222	295	1030
223	296	1028
224	297	1026
225	299	1024
226	300	1022
227	301	1019
228	302	1017
229	303	1015
230	304	1014
231	306	1013
232	307	1011
233	308	1010
234	309	1008
235	311	1006
236	312	1004
237	313	1002
238	314	1000
239	315	997
240	316	995
241	317	993
242	318	991
243	320	991
244	321	990
245	322	988
246	323	986
247	324	984
248	325	983
249	327	981
250	328	979
251	329	977
252	330	975
253	331	973
254	332	970
255	333	970
256	335	968
257	336	966
258	337	965
259	338	964
260	340	962
261	341	960
262	342	958
263	343	956
264	344	954
265	345	952
266	346	951
267	347	949
268	349	948
269	350	947
270	351	945
271	352	943
272	353	941
273	354	939
274	355	937
275	356	935
276	357	933
277	358	932
278	359	930
279	361	929
280	362	928
281	364	928
282	365	926
283	366	924
284	367	922
285	368	920
286	369	919
287	371	917
288	372	915
289	373	913
290	374	911
291	375	910
292	376	908
293	377	907
294	379	906
295	380	905
296	381	903
297	382	901
298	384	901
299	385	900
300	386	898
301	387	896
302	389	895
303	390	893
304	391	892
305	392	891
306	394	889
307	395	888
308	396	886
309	397	884
310	398	882
311	399	880
312	400	879
313	401	877
314	402	875
315	403	874
316	404	872
317	405	870
318	407	869
319	408	868
320	409	866
321	410	865
322	411	863
323	413	861
324	414	860
325	415	858
326	416	856
327	417	855
328	418	854
329	419	852
330	420	850
331	422	850
332	423	848
333	424	847
334	425	845
335	426	843
336	427	841
337	428	840
338	430	838
339	431	837
340	432	835
341	433	833
342	434	832
343	435	830
344	437	829
345	438	828
346	439	827
347	440	825
348	441	824
349	443	822
350	444	821
351	445	820
352	446	818
353	447	817
354	448	815
355	449	813
356	451	813
357	452	812
358	454	810
359	455	809
360	456	807
361	457	805
362	458	805
363	459	803
364	461	802
365	462	800
366	463	798
367	464	797
368	465	795
369	466	794
370	467	793
371	469	792
372	470	790
373	471	789
374	473	789
375	475	788
376	476	787
377	477	786
378	478	784
379	481	784
380	482	783
381	483	782
382	484	780
383	486	779
384	487	778
385	488	776
386	489	775
387	490	773
388	491	771
389	492	770
390	493	768
391	494	767
392	496	766
393	497	765
394	498	763
395	499	761
396	500	760
397	501	759
398	502	757
399	504	756
400	505	754
401	506	752
402	507	751
403	508	749
404	509	748
405	511	747
406	512	746
407	513	744
408	514	743
409	515	742
410	517	740
411	518	739
412	519	738
413	520	736
414	521	735
415	523	734
416	524	733
417	526	732
418	527	731
419	530	732
420	533	733
421	534	732
422	535	730
423	536	728
424	537	727
425	539	726
426	540	725
427	542	724
428	543	723
429	544	721
430	545	719
431	546	718
432	547	716
433	548	715
434	549	713
435	550	712
436	551	710
437	552	709
438	554	708
439	556	707
440	557	706
441	558	705
442	559	703
443	560	702
444	562	701
445	563	699
446	564	697
447	565	696
448	566	694
449	567	694
450	569	692
451	570	691
452	571	689
453	572	688
454	573	686
455	574	685
456	575	683
457	576	682
458	577	680
459	578	679
460	579	677
461	580	676
462	582	675
463	583	674
464	585	673
465	586	671
466	587	670
467	588	668
468	589	667
469	590	665
470	591	664
471	592	662
472	593	661
473	594	659
474	595	658
475	597	657
476	598	656
477	599	654
478	600	653
479	601	651
480	602	650
481	603	648
482	605	647
483	606	646
484	607	644
485	608	643
486	609	641
487	610	640
488	612	639
489	613	638
490	614	637
491	615	635
492	616	634
493	617	632
494	618	631
495	619	629
496	620	628
497	621	626
498	622	625
499	624	624
500	625	622
501	626	621
502	628	620
503	629	619
504	630	617
505	631	616
506	632	614
507	633	613
508	634	612
509	635	610
510	636	609
511	638	608
512	639	606
513	640	605
514	641	604
515	643	603
516	644	601
517	645	600
518	646	598
519	647	597
520	648	596
521	649	594
522	650	593
523	651	592
524	652	590
525	653	589
526	655	587
527	656	586
528	657	585
529	658	584
530	659	582
531	661	581
532	662	580
533	663	579
534	664	577
535	666	576
536	667	575
537	668	573
538	669	572
539	671	571
540	672	570
541	673	568
542	674	567
543	675	566
544	676	564
545	677	563
546	678	562
547	679	560
548	680	559
549	681	557
550	683	556
551	684	555
552	685	554
553	686	553
554	688	551
